комната, 2, 0.08061266%
которого, 2, 0.08061266%
краю, 2, 0.08061266%
крепость, 2, 0.08061266%
кроме, 2, 0.08061266%
ласково, 2, 0.08061266%
лег, 2, 0.08061266%
легко, 2, 0.08061266%
лицо, 2, 0.08061266%
между, 2, 0.08061266%
месту, 2, 0.08061266%
мигнул, 2, 0.08061266%
минуту, 2, 0.08061266%
мною, 2, 0.08061266%
мое, 2, 0.08061266%
мужичок, 2, 0.08061266%
мы, 2, 0.08061266%
назначения, 2, 0.08061266%
находился, 2, 0.08061266%
наши, 2, 0.08061266%
неба, 2, 0.08061266%
никогда, 2, 0.08061266%
ночевать, 2, 0.08061266%
оборотился, 2, 0.08061266%
опять, 2, 0.08061266%
отец, 2, 0.08061266%
отправился, 2, 0.08061266%
паспорт, 2, 0.08061266%
петр, 2, 0.08061266%
петрович, 2, 0.08061266%
петруша, 2, 0.08061266%
поезжай, 2, 0.08061266%
показался, 2, 0.08061266%
полати, 2, 0.08061266%
полк, 2, 0.08061266%
помиримся, 2, 0.08061266%
после, 2, 0.08061266%
постеле, 2, 0.08061266%
постели, 2, 0.08061266%
почему, 2, 0.08061266%
прав, 2, 0.08061266%
превосходительство, 2, 0.08061266%
приехали, 2, 0.08061266%
про, 2, 0.08061266%
прочая, 2, 0.08061266%
прямо, 2, 0.08061266%
решился, 2, 0.08061266%
росту, 2, 0.08061266%
савельичем, 2, 0.08061266%
своему, 2, 0.08061266%
свои, 2, 0.08061266%
сделано, 2, 0.08061266%
сих, 2, 0.08061266%
скорее, 2, 0.08061266%
слава, 2, 0.08061266%
слишком, 2, 0.08061266%
солнце, 2, 0.08061266%
спорить, 2, 0.08061266%
стали, 2, 0.08061266%
старым, 2, 0.08061266%
стороны, 2, 0.08061266%
стояли, 2, 0.08061266%
сугроб, 2, 0.08061266%
такую, 2, 0.08061266%
твой, 2, 0.08061266%
твоя, 2, 0.08061266%
тем, 2, 0.08061266%
топор, 2, 0.08061266%
трактире, 2, 0.08061266%
тут, 2, 0.08061266%
тяжело, 2, 0.08061266%
уже, 2, 0.08061266%
утихла, 2, 0.08061266%
фремя, 2, 0.08061266%
хотел, 2, 0.08061266%
хоть, 2, 0.08061266%
хотя, 2, 0.08061266%
чай, 2, 0.08061266%
час, 2, 0.08061266%
часу, 2, 0.08061266%
чашку, 2, 0.08061266%
человек, 2, 0.08061266%
человека, 2, 0.08061266%
человеку, 2, 0.08061266%
черной, 2, 0.08061266%
шубу, 2, 0.08061266%
эхе, 2, 0.08061266%
явился, 2, 0.08061266%
ямщика, 2, 0.08061266%
ямщику, 2, 0.08061266%
авось, 1, 0.04030633%
адъютантом, 1, 0.04030633%
андрея, 1, 0.04030633%
анны, 1, 0.04030633%
армяк, 1, 0.04030633%
армяке, 1, 0.04030633%
ах, 1, 0.04030633%
б, 1, 0.04030633%
бабушка, 1, 0.04030633%
барская, 1, 0.04030633%
батюшки, 1, 0.04030633%
бегали, 1, 0.04030633%
бедного, 1, 0.04030633%
беды, 1, 0.04030633%
бежали, 1, 0.04030633%
бежать, 1, 0.04030633%
белогорскую, 1, 0.04030633%
белое, 1, 0.04030633%
белой, 1, 0.04030633%
белую, 1, 0.04030633%
белы, 1, 0.04030633%
беспокойство, 1, 0.04030633%
беспокойством, 1, 0.04030633%
благодарил, 1, 0.04030633%
благословение, 1, 0.04030633%
благословения, 1, 0.04030633%
благослови, 1, 0.04030633%
благословит, 1, 0.04030633%
близко, 1, 0.04030633%
блуждали, 1, 0.04030633%
бога, 1, 0.04030633%
бодрость, 1, 0.04030633%
бодрый, 1, 0.04030633%
божией, 1, 0.04030633%
боишься, 1, 0.04030633%
бойсь, 1, 0.04030633%
бока, 1, 0.04030633%
более, 1, 0.04030633%
болезни, 1, 0.04030633%
болен, 1, 0.04030633%
больного, 1, 0.04030633%
большие, 1, 0.04030633%
большого, 1, 0.04030633%
бороде, 1, 0.04030633%
бородою, 1, 0.04030633%
бороду, 1, 0.04030633%
бранить, 1, 0.04030633%
брат, 1, 0.04030633%
брудер, 1, 0.04030633%
бунта, 1, 0.04030633%
бури, 1, 0.04030633%
бурному, 1, 0.04030633%
бывали, 1, 0.04030633%
быстро, 1, 0.04030633%
валил, 1, 0.04030633%
вам, 1, 0.04030633%
вас, 1, 0.04030633%
ваши, 1, 0.04030633%
ваших, 1, 0.04030633%
вашу, 1, 0.04030633%
ввел, 1, 0.04030633%
вдоль, 1, 0.04030633%
век, 1, 0.04030633%
велик, 1, 0.04030633%
велит, 1, 0.04030633%
вероятно, 1, 0.04030633%
весело, 1, 0.04030633%
вести, 1, 0.04030633%
вечерне, 1, 0.04030633%
вечор, 1, 0.04030633%
взглянув, 1, 0.04030633%
вздохом, 1, 0.04030633%
вздрагивая, 1, 0.04030633%
вздумал, 1, 0.04030633%
видениях, 1, 0.04030633%
видеть, 1, 0.04030633%
видно, 1, 0.04030633%
вина, 1, 0.04030633%
виноватым, 1, 0.04030633%
винтовка, 1, 0.04030633%
висела, 1, 0.04030633%
вихорь, 1, 0.04030633%
владыко, 1, 0.04030633%
вместо, 1, 0.04030633%
внес, 1, 0.04030633%
внимания, 1, 0.04030633%
вожатом, 1, 0.04030633%
вожатому, 1, 0.04030633%
возвращение, 1, 0.04030633%
возразил, 1, 0.04030633%
возьмешься, 1, 0.04030633%
воина, 1, 0.04030633%
войска, 1, 0.04030633%
вокруг, 1, 0.04030633%
воле, 1, 0.04030633%
волк, 1, 0.04030633%
волоса, 1, 0.04030633%
волосы, 1, 0.04030633%
воровского, 1, 0.04030633%
ворот, 1, 0.04030633%
вороты, 1, 0.04030633%
вошел, 1, 0.04030633%
вперед, 1, 0.04030633%
вполголоса, 1, 0.04030633%
впредь, 1, 0.04030633%
вредно, 1, 0.04030633%
времен, 1, 0.04030633%
времени, 1, 0.04030633%
всевозможное, 1, 0.04030633%
вскочил, 1, 0.04030633%
всматриваться, 1, 0.04030633%
встретил, 1, 0.04030633%
